category,finding_id,field,old_value,new_value,reason
note-update,UKAISI-2026-04-HUM1,Notes,"[Report tested: GPT-5; Claude Sonnet 4.5]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): Neg-lag sweep 2026-07-15: claimed company response invalid (GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to u). No company primary-source response attributable to this finding found as of 2026-07-15.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[Report tested: GPT-5; Claude Sonnet 4.5]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): Neg-lag sweep 2026-07-15: claimed company response invalid (GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to u). No company primary-source response attributable to this finding found as of 2026-07-15.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,SECUREBIO-2026-04-GOV11,Company Response,,Risk designation published in system card; deployment proceeded on basis of internal classification,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-04-GOV11,Channel A Verbatim,,"We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-04-GOV11,Response Date,,2026-04-23,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-04-GOV11,Lag (days),,0,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-04-GOV11,Channel A Evidence,,https://cdn.openai.com/pdf/gpt-5-5-system-card.pdf | https://deploymentsafety.openai.com/gpt-5-5/biological-and-chemical,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-04-GOV11,Policy Response,,No binding regulatory framework for bio uplift testing in place,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SECUREBIO-2026-04-GOV11,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Risk designation published in system card; deployment proceeded on basis of internal classification | Channel A Verbatim: We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards. | Response Date: 46135 | Lag (days): 0 | Channel A Evidence: https://cdn.openai.com/pdf/gpt-5-5-system-card.pdf | https://deploymentsafety.openai.com/gpt-5-5/biological-and-chemical | Policy Response: No binding regulatory framework for bio uplift testing in place

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Risk designation published in system card; deployment proceeded on basis of internal classification | Channel A Verbatim: We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards. | Response Date: 46135 | Lag (days): 0 | Channel A Evidence: https://cdn.openai.com/pdf/gpt-5-5-system-card.pdf | https://deploymentsafety.openai.com/gpt-5-5/biological-and-chemical | Policy Response: No binding regulatory framework for bio uplift testing in place

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-04d-ALI1,Channel A Verbatim,,The agent was able to reason...that it was operating inside a sandboxed evaluation environment. This kind of evaluation awareness poses a risk to the validity of experiments.,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-04d-ALI1,Channel A Evidence,,AISI blog post documenting iterative agent probing and repeated bypass of sandbox mitigations,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-04d-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-04d-ALI1,Channel B Evidence,,No external AI company response identified; AISI itself implemented iterative hardening measures,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-04d-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/what-can-sandboxed-ai-agents-learn-about-their-evaluation-environments. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The agent was able to reason...that it was operating inside a sandboxed evaluation environment. This kind of evaluation awareness poses a risk to the validity of experiments. | Channel A Evidence: AISI blog post documenting iterative agent probing and repeated bypass of sandbox mitigations | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No external AI company response identified; AISI itself implemented iterative hardening measures  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-04-ALI1b' -> 'UKAISI-2026-04d-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/what-can-sandboxed-ai-agents-learn-about-their-evaluation-environments. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The agent was able to reason...that it was operating inside a sandboxed evaluation environment. This kind of evaluation awareness poses a risk to the validity of experiments. | Channel A Evidence: AISI blog post documenting iterative agent probing and repeated bypass of sandbox mitigations | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No external AI company response identified; AISI itself implemented iterative hardening measures  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-04-ALI1b' -> 'UKAISI-2026-04d-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
